type,typeDescription,productBrand,productBarcode,productCode,productDescription,productPic,productDatasheet,cost,currency,supplyer,note,.
Modular installation,Modular installation,Siemens,,5WG1146-1AB02,N 146/02 IP Router,,,510.75,NZD,Siemens,,.
Modular installation,Modular installation,Siemens,,5WG1148-1AB12,N 148/12 USB Interface,,,248.4,NZD,Siemens,,.
Modular installation,Modular installation,Siemens,,5WG1148-1AB22,N 148/22 IP interface,,,263.25,NZD,Siemens,,.
Modular installation,Modular installation,Siemens,,5WG1350-1EB01,N 350E01 IP Controller,,,985.95,NZD,Siemens,,.
Modular installation,Modular installation,Siemens,,6BK1700-0BA20-0AA0,CMK2000 LOGO! comms Module,,,293.4,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1251-3AB11,AP 251/11 Motion detector IP55  indoor/outdoor  tit white,,,278.1,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1251-3AB21,AP 251/21 Motion detector IP55  indoor/outdoor  anthracite,,,287.55,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1257-2AB13,UP 257/13 Motion detector  assembly height 1.10m  tit white  DELTA style ,,,100.8,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1257-2AB14,UP 257/14 Motion detector  assembly height 2.20m  tit white  DELTA style ,,,100.8,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1257-2AB41,UP 257/41 Motion detector  assembly height 1.10m  plat metallic,,,104.85,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1257-2AB42,UP 257/42 Motion detector  assembly height 2.20m  plat metallic,,,104.85,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1258-2HB11,UP 258H11 Motion detector  assembly height 1.10m  tit white  i-system,,,105.75,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1258-2HB12,UP 258H12 Motion detector  assembly height 2.20m  tit white  i-system,,,105.75,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1258-2HB31,UP 258H31 Motion detector  assembly height 1.10m  alu metallic,,,123.3,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,5WG1258-2HB32,UP 258H32 Motion detector  assembly height 2.20m  alu metallic,,,123.3,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,QAA2071,QAA2071 Room temp sensor 4..20mA,,,127.5,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,QAP1030.200,QAP1030.200 Cable temp sensor PVC 2m  NTC 10k,,,20.5,NZD,Siemens,,.
Physical sensors,Physical sensors,Siemens,,QAP2012.150,QAP2012.150 Cable temp sensor silicone 1.5m  Pt1000,,,39.5,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,5WG1305-1AB01,N 305/01 Scene/Event Controller,,,206.55,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1052-1FB08-0BA0,LOGO! 8 230 RCE Basic Module 8DI/4DO,,,198,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1052-1MD08-0BA0,LOGO! Basic Module LOGO! 8 12/24 RCE 8DI/4DO,,,193.2,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1052-2FB08-0BA0,LOGO! 8 230 RCEo Basic Module 8DI/4DO,,,159,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1052-2MD08-0BA0,LOGO! 8 12/24 RCEo Basic Module,,,154.2,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1055-1FB00-0BA2,LOGO! DM 8 230 R Expansion Module,,,100.8,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1055-1FB10-0BA2,LOGO! DM 16 230 R Expansion Module,,,163.2,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1055-1MA00-0BA2,LOGO! AM2 Expansion Module,,,123,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1055-1MB00-0BA2,LOGO! DM8 12/24 R Expansion Module,,,100.8,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1055-1MD00-0BA2,LOGO! AM2 RTD Expansion Module,,,148.8,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1055-1MM00-0BA2,LOGO! AM2 AQ Expansion Module,,,175.2,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1055-1NB10-0BA2,LOGO! DM16 24 R Expansion Module,,,163.2,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6ED1058-0BA08-0YA1,LOGO! Soft Comfort V8 software,,,75,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6EP3330-6SB00-0AY0,LOGO! Power 24V/0.6A,,,38.22,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6EP3331-6SB00-0AY0,LOGO! Power 24V/1.3A,,,56.7,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6EP3332-6SB00-0AY0,LOGO! Power 24V/2.5A,,,75,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6EP3333-6SB00-0AY0,LOGO! Power 24V/4A,,,103.2,NZD,Siemens,,.
Control and automation devices,Control and automation devices,Siemens,,6GK7177-1MA20-0AA0,LOGO! CSM 12/24 comms Module,,,138.6,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1110-2AB03,UP 110/03 Bus coupling unit  with BCU1  mounting depth 27mm,,,94.95,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1110-2AB11,UP 110/11 Bus coupling unit  with BCU1  mounting depth 19/32mm,,,114.3,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1117-2AB12,UP 117/12 Bus transceiver modules  mounting depth 18mm,,,42.75,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1117-2BB12,UP 117B12 Bus Coupling Unit (BTM)  modular,,,39.6,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1117-2CB12,UP 117C12 Bus Coupling Unit (BTM)  NEMA,,,39.6,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1120-1AB02,N  120/02 Choke  640 mA,,,57.6,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1125-1AB02,N  125/02 Power supply unit DC 29V  160 mA with additional unchoked output,,,177.3,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1125-1AB12,N  125/12 Power supply unit DC 29V  320 mA with additional unchoked output,,,261.45,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1125-1AB22,N  125/22 Power supply unit DC 29V  640 mA with additional unchoked output,,,359.1,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1140-1AB13,N  140/13 Line/backbone coupler,,,398.7,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1193-8AB01,193/01 Bus terminal  2-pole  4 plug-in connectors  red/dark gray,,,1.35,NZD,Siemens,,.
System products and accessories,System products and accessories,Siemens,,5WG1294-8AB01,S 294/01 Mounting bracket for UP 110/11,,,2.7,NZD,Siemens,,.
Home automation system,Home automation system,Siemens,,5WG3260-3AB11,AP 260/11 Door/window contact with battery  tit white,,,155.7,NZD,Siemens,,.
